learning_rate,num_epochs,num_points,hidden_layers,weight_pde,weight_bc,final_loss,max_abs_error,L2_error,train_time
"[0.01, 0.1]",1000,50,"[20, 20, 20]",1.0,1.0,4.916e-08,7.549e-05,2.848e-04,45.961
"[0.01, 0.1]",500,200,"[20, 20, 20]",1.0,1.0,1.998e-06,1.773e-03,1.068e-02,21.760
"[0.01, 0.1]",500,100,"[20, 20, 20]",1.0,1.0,6.134e-07,3.668e-04,2.192e-03,23.975
"[0.01, 0.1]",500,50,"[20, 20, 20]",1.0,1.0,1.838e-06,1.373e-04,6.738e-04,26.130
"[0.01, 0.1]",200,50,"[20, 20, 20]",1.0,1.0,8.110e-07,4.776e-04,2.883e-03,12.448
"[0.01, 0.1]",200,50,"[20, 20, 20]",1.0,2.0,5.174e-08,3.826e-05,2.335e-04,18.559
"[0.01, 0.1]",1000,100,"[20, 20, 20]",1.0,2.0,5.775e-07,1.755e-04,8.576e-04,54.776
"[0.01, 0.1]",600,100,"[20, 20, 20]",0.2,1,3.277e-09,3.402e-05,1.903e-04,35.402
"[0.01, 0.1]",600,100,"[20, 20, 20]",0.01,1,5.462e-08,1.878e-05,8.048e-05,30.765
"[0.01, 0.1]",600,100,"[20, 20, 20]",0.01,1,1.957e-09,4.461e-06,1.959e-05,37.548
